PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
12000/4-AC-PEM,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12000/4-AC-PEM
12000/4-CHASSIS,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12000/4-CHASSIS
12000/4-DC-PEM,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12000/4-DC-PEM
12000/6,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12000/6
12000/6-BLOWER,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12000/6-BLOWER
12000/6-DC-PEM,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12000/6-DC-PEM
12000-SIP-401,"September 15, 2014","September 15, 2015","December 14, 2018","September 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-729553.html,OK,12000-SIP-401
12000-SIP-501,"September 15, 2014","September 15, 2015","December 14, 2018","September 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-729553.html,OK,12000-SIP-501
12000-SIP-601,"June 21, 2015","June 21, 2016","September 21, 2019","June 30, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/eos-eol-notice-c51-731400.html,OK,12000-SIP-601
12404-MSE-SIP-BUN,"February 28, 2009",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-456801.html,OK,12404-MSE-SIP-BUN
12406E-CSC,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12406E-CSC
12406E-SFC,"February 15, 2014","February 15, 2015","May 16, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-726754.html,OK,12406E-SFC
14X10GBE-WL-XFP,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
34-0794-01,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
4GE-SFP-LC,"August 30, 2012","August 30, 2013","November 28, 2016","August 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-683932.html,OK,4GE-SFP-LC
4OC3X/ATM-IR-SC,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-687139.html,OK,4OC3X/ATM-IR-SC
