PN;End-of-Sale Date;End of New Service Attachment Date;End of Service Contract Renewal Date;Last Date of Support; омментарий
12000/4-AC-PEM;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;без замены
12000/4-CHASSIS;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;куплена поддержка
12000/4-DC-PEM;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;без замены
12000/6;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;куплена поддержка
12000/6-BLOWER;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;без замены
12000/6-DC-PEM;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;без замены
12000-SIP-401;September 15, 2014;September 15, 2015;December 14, 2018;September 30, 2019;
12000-SIP-501;September 15, 2014;September 15, 2015;December 14, 2018;September 30, 2019;
12000-SIP-601;June 21, 2015;June 21, 2016;September 21, 2019;June 30, 2020;
12404-MSE-SIP-BUN;February 28, 2009;;;;
12406E-CSC;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;
12406E-SFC;February 15, 2014;February 15, 2015;May 16, 2018;February 28, 2019;
14X10GBE-WL-XFP;;;;;
34-0794-01;;;;;без замены
4GE-SFP-LC;August 30, 2012;August 30, 2013;November 28, 2016;August 31, 2017;
4OC3X/ATM-IR-SC;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;куплена поддержка
4OC3X/POS-LR-LC-B;November 15, 2010;November 15, 2011;February 13, 2015;November 30, 2015;
4XGE-BUILT-IN;;;;;
7206VXR/NPE-G1;February 27, 2012;February 26, 2013;May 24, 2016;February 28, 2017;
7206VXR/NPE-G2;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
7300-PWR-AC;July 4, 2010;July 4, 2011;September 29, 2014;July 31, 2015;
7304-I/O-CFM-256M;July 4, 2010;July 4, 2011;September 29, 2014;July 31, 2015;
7304-MEM-G100-1GB;July 4, 2010;July 4, 2011;September 29, 2014;July 31, 2015;
7304-MSC-100;July 4, 2010;July 4, 2011;September 29, 2014;July 31, 2015;
7304-NPE-G100;July 4, 2010;July 4, 2011;September 29, 2014;July 31, 2015;
73-2587-1;;;;;без замены
7600-ES+20C;;;;;без замены
